id,sk,cs,hu
9431,Dr. Divnoláska alebo Ako som sa naučil nerobiť si starosti a mať rád bombu,Dr. Divnoláska aneb Jak jsem se naučil nedělat si starosti a mít rád bombu,"Dr. Strangelove, avagy rájöttem, hogy nem kell félni a bombától, meg is lehet szeretni"
9432,Hodina anatómie u doktora Tulpa,Anatomie doktora Tulpa,Dr. Tulp anatómiája
9433,Drakunkulóza,Drakunkulóza,Dracunculiasis
9434,Draft (šport),Draft,Draft
9435,Dragon (kozmická loď),Dragon (kosmická loď),Dragon (űrhajó)
9436,Dragún (vojak),Dragoun,Dragonyos
9437,Operácia Dragoon,Operace Dragoon,Dragoon hadművelet
9438,Drahotín (okres Domažlice),Drahotín,Drahotín
9439,Drake,Drake (umělec),Drake (rapper)
9440,Drakova rovnica,Drakeova rovnice,Drake-formula
9441,Drakeova rovnica,Drakeova rovnice,Drake-formula
9442,Drakov prieliv,Drakeův průliv,Drake-átjáró
9443,Dračie vrchy,Dračí hory,Drakensberg
9444,Drakonidy,Drakonidy,Drakonidák
9445,Dracula (román),Drákula (kniha),Drakula
9446,Dracula,Drákula,Drakula (egyértelműsítő lap)
9447,Drakón,Drakón,Drakón (athéni politikus)
9448,Drammensbrua,Drammensbrua,Drammen-híd
9449,Dražkovce,Dražkovce,Draskócvölgye
9450,Draupnir,Draupni,Draupnir
9451,Drávidské jazyky,Drávidské jazyky,Dravida nyelvcsalád
9452,Drače,Drače,Drače (Janjina)
9453,Dražice (okres Tábor),Dražice,Dražice (Tábori járás)
9454,Dražice,Dražice (rozcestník),Dražice (egyértelműsítő lap)
9455,Dražovice (okres Klatovy),Dražovice (okres Klatovy),Dražovice (Klatovyi járás)
9456,Dražovice (okres Vyškov),Dražovice (okres Vyškov),Dražovice (Vyškovi járás)
9457,Dražovice,Dražovice,Dražovice (egyértelműsítő lap)
9458,Dream On (singel Aerosmith),Dream On (Aerosmith),Dream On
9459,Tre Cime,Tre Cime,Drei Zinnen
9460,Drenthe (provincia),Drenthe,Drenthe
9461,Drevľania,Drevljané,Drevljánok
9462,Drew Barrymorová,Drew Barrymoreová,Drew Barrymore
9463,Drážďany,Drážďany,Drezda
9464,Bombardovanie Drážďan,Bombardování Drážďan,Drezda bombázása
9465,Drift (motorizmus),Drift (automobilový sport),Drift
9466,Drinopolský mier (1829),Drinopolský mír,Drinápolyi béke (1829)
9467,Drnek,Drnek,Drnek (Csehország)
9468,Drnovice (okres Blansko),Drnovice (okres Blansko),Drnovice (Blanskói járás)
9469,Drnovice (okres Vyškov),Drnovice (okres Vyškov),Drnovice (Vyškovi járás)
9470,Drnovice (okres Zlín),Drnovice (okres Zlín),Drnovice (Zlíni járás)
9471,Drnovice,Drnovice,Drnovice (egyértelműsítő lap)
9472,Drohobyč,Drohobyč,Drohobics
9473,Dromeosaury,Dromaeosauridae,Dromaeosauridae
9474,Dron,Drone,Drone (egyértelműsítő lap)
9475,Platysmurus,Platysmurus,Drongószajkó
9476,Drozdov (okres Beroun),Drozdov (okres Beroun),Drozdov (Berouni járás)
9477,Drozdov,Drozdov,Drozdov (egyértelműsítő lap)
9478,Drozdov (okres Šumperk),Drozdov (okres Šumperk),Drozdov (Šumperki járás)
9479,Drslavice (okres Prachatice),Drslavice (okres Prachatice),Drslavice (Prachaticei járás)
9480,Drslavice (okres Uherské Hradiště),Drslavice (okres Uherské Hradiště),Drslavice (Uherské Hradiště-i járás)
9481,Drslavice,Drslavice,Drslavice (egyértelműsítő lap)
9482,Valentín I. Druget,Valentín I. Druget,Drugeth Bálint
9483,Filip I. Druget,Filip I. Druget,Drugeth Fülöp
9484,Ján I. Druget,Ján I. Druget,Drugeth I. János
9485,Mikuláš I. Druget,Mikuláš I. Druget,Drugeth I. Miklós
9486,Viliam Druget,Viliam Druget,Drugeth I. Vilmos
9487,Žigmund II. Druget,Zikmund II. Druget,Drugeth Zsigmond
9488,Drugetovci,Drugethové,Drugeth család
9489,Druid,Druid,Druida
9490,Drahokam,Drahokam,Drágakő
9491,Dráma,Drama,Dráma
9492,Dramatik,Dramatik,Drámaíró
9493,Drásov (okres Brno-venkov),Drásov (okres Brno-venkov),Drásov (Brno-vidéki járás)
9494,Drásov (okres Příbram),Drásov (okres Příbram),Drásov (Příbrami járás)
9495,Drásov,Drásov,Drásov (egyértelműsítő lap)
9496,Drietoma,Drietoma,Drétoma
9497,Drotár,Dráteník,Drótostót
9498,Nemecký drôtosrstý stavač,Německý ohař drátosrstý,Drótszőrű német vizsla
9499,Drôme (departement),Drôme,Drôme
9500,Strezenice,Drösing,Drösing
9501,Drúzovia,Drúzové,Drúzok
9502,Dryády,Dryády,Drüaszok
9503,Držková (obec),Držková,Držková
9504,Držovice (okres Prostějov),Držovice,Držovice
9505,Dualizmus,Dualismus,Dualizmus (egyértelműsítő lap)
9506,Dualizmus (filozofia),Dualismus (filosofie),Dualizmus (filozófia)
9507,Duane Gene Carey,Duane Carey,Duane Gene Carey
9508,Dub (okres Prachatice),Dub (okres Prachatice),Dub (Prachaticei járás)
9509,Dub (rozlišovacia stránka),Dub (rozcestník),Dub (egyértelműsítő lap)
9510,Dub (hudobný štýl),Dub (hudební styl),Dub (zenei stílus)
9511,Dubai Tennis Championships,Dubai Tennis Championships,Dubai Duty Free Tennis Championships
9512,Dubaj (mesto),Dubaj,Dubaj
9513,Dubaj (emirát),Dubaj (emirát),Dubaj (emírség)
9514,Dubajské metro,Metro v Dubaji,Dubaji metró
9515,Medzinárodné letisko Dubaj,Mezinárodní letiště Dubaj,Dubaji nemzetközi repülőtér
9516,Dubany (okres Pardubice),Dubany (okres Pardubice),Dubany
9517,Dubenec (okres Příbram),Dubenec (okres Příbram),Dubenec (Příbrami járás)
9518,Dubenec (okres Trutnov),Dubenec (okres Trutnov),Dubenec (Trutnovi járás)
9519,Dubenec,Dubenec,Dubenec (egyértelműsítő lap)
9520,Letisko Dublin,Letiště Dublin,Dublini repülőtér
9521,Dubna,Dubna (Moskevská oblast),Dubna
9522,Dubnická kronika,Dubnická kronika,Dubnici krónika
9523,Dubno (okres Příbram),Dubno (okres Příbram),Dubno (Příbrami járás)
9524,Dubno,Dubno,Dubno (egyértelműsítő lap)
9525,Dubová,Dubová,Dubová (egyértelműsítő lap)
9526,Dubovany,Dubovany,Dubovány
9527,Dúbrava (okres Liptovský Mikuláš),Dúbrava (okres Liptovský Mikuláš),Dubrava (Liptószentmiklósi járás)
9528,Dúbravica,Dúbravica,Dubravica
9529,Dubrovník,Dubrovník,Dubrovnik
9530,Dubrovnícko-neretvianska župa,Dubrovnicko-neretvanská župa,Dubrovnik-Neretva megye
9531,Dubčany (okres Olomouc),Dubčany,Dubčany
9532,Ducey (obec),Ducey,Ducey
9533,Alexander Duchnovič,Alexander Duchnovič,Duchnovits Sándor
9534,Duclair (obec),Duclair,Duclair
9535,Ducové,Ducové,Ducó
9536,Duda,Duda,Duda (egyértelműsítő lap)
9537,Gajdy,Dudy,Duda (hangszer)
9538,Dudley Robert Herschbach,Dudley Robert Herschbach,Dudley Herschbach
9539,Dudváh,Dudváh,Dudvág
9540,Douro (rieka),Douro,Duero
9541,Duffy (speváčka),Duffy (zpěvačka),Duffy
9542,Piest,Píst,Dugattyú
9543,Dugong morský,Dugong indický,Dugong
9544,Dugongovité,Dugongovití,Dugongfélék
9545,Duka (Maďarsko),Duka (Maďarsko),Duka
9546,Árpád Duka-Zólyomi,Árpád Duka-Zólyomi,Duka-Zólyomi Árpád
9547,Dukovce,Dukovce,Dukafalva
9548,Karpatsko-duklianska operácia,Karpatsko-dukelská operace,Duklai csata
9549,Dukliansky priesmyk,Dukelský průsmyk,Duklai-hágó
9550,Duluth,Duluth,Duluth (egyértelműsítő lap)
9551,Dumbo,"Dumbo (film, 1941)","Dumbo (film, 1941)"
9552,Dumuzi (boh),Dumuzi,Dumuzi
9553,Dunaj,Dunaj,Duna
9554,Podunajské múzeum v Komárne,Podunajské muzeum v Komárně,Duna Menti Múzeum
9555,Most priateľstva Giurgiu-Ruse,Most přátelství Giurgiu-Ruse,Duna híd
9556,Podunajská nížina,Podunajská nížina,Duna menti alföld
9557,Dunajská cyklistická cesta,Dunajská cyklostezka,Duna menti kerékpárút
9558,Donaukanal,Donaukanal,Duna-csatorna (Bécs)
9559,Delta Dunaja,Delta Dunaje,Duna-delta
9560,Bratislava - mestská časť Čunovo,Čunovo,Dunacsún
9561,Hložany,Gložan,Dunagálos
9562,Most pri Bratislave,Most pri Bratislave,Dunahidas
9563,Hlavátka podunajská,Hlavatka obecná,Dunai galóca
9564,Mlok dunajský,Čolek dunajský,Dunai gőte
9565,Dunajov,Dunajov,Dunajó
9566,Vyšehradská brána,Dunajské ohbí,Dunakanyar
9567,Dunakeszký okres,Okres Dunakeszi,Dunakeszi járás
9568,Moča,Moča (Slovensko),Dunamocs
9569,Radvaň nad Dunajom,Radvaň nad Dunajom,Dunaradvány
9570,Dunaš ben Labrat,Dunaš ben Labrat,Dunas ben Labrat
9571,Dunajská Streda,Dunajská Streda,Dunaszerdahely
9572,Dunajská Streda (okres),Okres Dunajská Streda,Dunaszerdahelyi járás
9573,Nová Dedinka,Nová Dedinka,Dunasápújfalu
9574,Dunajský Klátov,Dunajský Klátov,Dunatőkés
9575,Dunaújvárosský okres,Okres Dunaújváros,Dunaújvárosi járás
9576,Duna-Ipoly Nemzeti Park,Dunaj-Ipeľ,Duna-Ipoly Nemzeti Park
9577,Dundee (Škótsko),Dundee,Dundee (Skócia)
9578,Dunfermline Athletic,Dunfermline Athletic FC,Dunfermline Athletic FC
9579,Dunkerque,Dunkerk,Dunkerque
9580,Dunningov-Krugerov efekt,Dunningův-Krugerův efekt,Dunning-Kruger-hatás
9581,Ján Duns Scotus,Jan Duns Scotus,Duns Scotus
9582,Zadunajsko,Zadunají,Dunántúl
9583,Zadunajské stredohorie,Zadunajské středohoří,Dunántúli-középhegység
9584,Durandova línia,Durandova linie,Durand-vonal
9585,Durango,Durango,Durango (egyértelműsítő lap)
9586,Durango (štát),Durango (stát),Durango (állam)
9587,Miklós Duray,Miklós Duray,Duray Miklós
9588,Bitka pri jazere Durbe,Bitva u Durbeského jezera,Durbeni csata
9589,Durham,Durham,Durham (Anglia)
9590,Durham (rozlišovacia stránka),Durham (rozcestník),Durham (egyértelműsítő lap)
9591,Durham (grófstvo),Hrabství Durham,Durham (megye)
9592,Durham (Severná Karolína),Durham (Severní Karolína),Durham (Észak-Karolina)
9593,Durhamská katedrála,Durhamská katedrála,Durhami székesegyház
9594,Durian,Durian,Durio
9595,Durian zapáchavý,Durian cibetkový,Durián
9596,Drač (mesto),Drač,Durrës
9597,Dursleyovci,Dursleyovi,Dursley család
9598,Večernica parková,Netopýr parkový,Durvavitorlájú törpedenevér
9599,Dury,Dury,Dury (egyértelműsítő lap)
9600,Tvarožná (okres Kežmarok),Tvarožná (okres Kežmarok),Duránd
9601,Dušanbe,Dušanbe,Dusanbe
9602,Dustin Brown,Dustin Brown,Dustin Brown (egyértelműsítő lap)
9603,Dusty Springfieldová,Dusty Springfield,Dusty Springfield
9604,MegaCharts,MegaCharts,Dutch Charts
9605,Stredná odborná škola,Střední odborná škola,Duális képzés
9606,Duálny priestor,Duální prostor,Duális tér
9607,Dušan Keketi,Dušan Keketi,Dušan Kéketi
9608,Dušníky (okres Litoměřice),Dušníky,Dušníky
9609,Dvina,Dvina,Dvina (egyértelműsítő lap)
9610,Dvojka (RTVS),Dvojka (televizní stanice),Dvojka (STV2)
9611,Dvorce (okres Bruntál),Dvorce (okres Bruntál),Dvorce (Bruntáli járás)
9612,Dvorce (okres Jihlava),Dvorce (okres Jihlava),Dvorce (Jihlavai járás)
9613,Dvorce,Dvorce,Dvorce (egyértelműsítő lap)
9614,Dvorec,Dvorec (rozcestník),Dvorec (egyértelműsítő lap)
9615,Viktor Dvorčák,Viktor Dvorcsák,Dvortsák Győző
9616,Dvory (okres Nymburk),Dvory (okres Nymburk),Dvory (Nymburki járás)
9617,Dvory (okres Prachatice),Dvory (okres Prachatice),Dvory (Prachaticei járás)
9618,Dvory,Dvory,Dvory (egyértelműsítő lap)
9619,Dyje (okres Znojmo),Dyje (okres Znojmo),Dyje (Znojmói járás)
9620,Dynasty (album),"Dynasty (album, Kiss)",Dynasty
9621,Dyskobolia Grodzisk Wielkopolski,KS Dyskobolia Grodzisk Wielkopolski,Dyskobolia Grodzisk Wielkopolski
9622,Dysnomia (mesiac),Dysnomia (měsíc),Dysnomia
9623,Dysonova sféra,Dysonova sféra,Dyson-gömb
9624,Dz,Dz (digraf),Dz (digráf)
9625,Dzeržinsk,Dzeržinsk,Dzerzsinszk (Oroszország)
9626,Dziecinów (Powiat otwocki),Dziecinów (okres Otwock),Dziecinów
9627,Dzogčhen,Dzogčhen,Dzogcsen
9628,Dzongkha,Dzongkha,Dzongkha nyelv
9629,Şehzade Cihangir,Šehzade Džihangir,Dzsahángír oszmán herceg
9630,Džinizmus,Džinismus,Dzsainizmus
9631,Džajpur,Džajpur,Dzsaipur
9632,Džalájírovci,Džalájirovský sultanát,Dzsalájirida szultanátus
9633,Džalál Tálabání,Džalál Talabání,Dzsalál Talabáni
9634,Džalál ad-Dín Rúmí,Džaláleddín Balchí Rúmí,Dzsalál ad-Dín Rúmí
9635,Džámsky minaret,Minaret Džám,Dzsam minaretje
9636,Zámásp,Zámásp,Dzsamaszb szászánida király
9637,Džammú a Kašmír,Džammú a Kašmír,Dzsammu és Kasmír
9638,Džaváharlál Néhrú,Džaváharlál Néhrú,Dzsaváharlál Nehru
9639,Džed,Džed,Dzsed
9640,Thamfthis,Thamphthis,Dzsedefptah
9641,Radžedef,Radžedef,Dzsedefré
9642,Djembe,Djembe,Dzsembé
9643,Djenné,Djenné,Dzsenné
9644,Džentrifikácia,Gentrifikace,Dzsentrifikáció
9645,Džer,Džer,Dzser
9646,Džerba,Džerba,Dzserba
9647,Džez,Jazz,Dzsessz
9648,Wadži,Wadži,Dzset (uralkodó)
9649,Džhárkhand,Džhárkhand,Dzshárkhand
9650,Džibutsko,Džibutsko,Dzsibuti
9651,Džibuti,Džibuti,Dzsibuti (település)
9652,Vlajka Džibutska,Džibutská vlajka,Dzsibuti zászlaja
9653,Džidda,Džidda,Dzsidda
9654,Džiddú Krišnamúrti,Džiddú Krišnamúrti,Dzsiddu Krisnamúrti
9655,Džihád,Džihád,Dzsihád
9656,Čingischán,Čingischán,Dzsingisz mongol nagykán
9657,Džochar Musajevič Dudajev,Džochar Dudajev,Dzsohar Dudajev
9658,Džuba,Džuba (řeka),Dzsubba
9659,Gürragča Džugderdemidín,Džugderdemidín Gurragčá,Dzsugderdemidín Gurragcsá
9660,Džungársko,Džungarie,Dzsungária
9661,Škrečok džungarský,Křečík džungarský,Dzsungáriai törpehörcsög
9662,Džunka,Džunka,Dzsunka
9663,Abú Músá Džábir ibn Hajján,Geber,Dzsábir ibn Hajján
9664,Šodži Džo,Šódži Džó,Dzsó Sódzsi
9665,Džódhpur,Džódhpur,Dzsódhpur
9666,Obdobie Džómon,Období Džómon,Dzsómon-kor
9667,Džoser,Džoser,Dzsószer
9668,Stupňovitá pyramída v Sakkáre,Džoserova pyramida,Dzsószer-piramis
9669,Džiu-džicu (Japonsko),Ju-jitsu,Dzsúdzsucu
9670,Zéta,Zéta,Dzéta
9671,Dacit,Dacit,Dácit
9672,Dácke pevnosti v horách Orăștie,Dácké pevnosti v Orăștijských horách,Dák erődítmények
9673,Dákovia,Dákové,Dákok
9674,Dácke vojny,Dácké války,Dák-római háborúk
9675,Dáma (hra),Dáma (desková hra),Dámajáték
9676,Dánska cirkev,Dánská národní církev,Dán Népegyház
9677,Dánska Wikipédia,Dánská Wikipedie,Dán Wikipédia
9678,Dánske národné hokejové mužstvo,Dánská hokejová reprezentace,Dán férfi jégkorong-válogatott
9679,Dánske národné hádzanárske mužstvo,Dánská mužská házenkářská reprezentace,Dán férfi kézilabda-válogatott
9680,Dánska koruna,Dánská koruna,Dán korona
9681,Dánske národné futbalové mužstvo,Dánská fotbalová reprezentace,Dán labdarúgó-válogatott
9682,Dánčina,Dánština,Dán nyelv
9683,Dánska kolónia,Dánská koloniální říše,Dán tengerentúli gyarmatok
9684,Nándor Dáni,Nándor Dáni,Dáni Nándor (atléta)
9685,Dánsko,Dánsko,Dánia
9686,Štátny znak Dánska,Státní znak Dánska,Dánia címere
9687,Der er et yndigt land,Dánská hymna,Dánia himnusza
9688,Zoznam kráľov Dánska,Seznam dánských králů,Dánia uralkodóinak listája
9689,Vlajka Dánska,Dánská vlajka,Dánia zászlaja
9690,Dánsky prieliv,Dánský průliv,Dánia-szoros
9691,Kniha proroka Daniela,Kniha Daniel,Dániel könyve
9692,Daniel (prorok),Daniel (prorok),Dániel próféta
9693,Dáni,Dánové,Dánok
9694,Vŕba oštepovitolistá,Vrba hrotolistá,Dárdás fűz
9695,David Ben Gurion,David Ben Gurion,Dávid Ben-Gúrión
9696,Štefan Dávid,Štefan Dávid,Dávid István (tanár)
9697,Dávidov prak,Davidův prak,Dávid Parittyája
9698,David Kimchi,David Kimchi,Dávid ben József Kimhi
9699,David (Polacké kniežatstvo),David Vseslavič,Dávid polocki fejedelem
9700,Dávid (biblická postava),David (biblická postava),Dávid zsidó király
9701,Dávidova hviezda,Davidova hvězda,Dávid-csillag
9702,Jeleň milu,Jelen milu,Dávid-szarvas
9703,Davidov,Davidov,Dávidvágása
9704,Dâmbovița (župa),Dâmbovița,Dâmbovița megye
9705,Mór Déchy,Mór Déchy,Déchy Mór
9706,Découvertes Gallimard,Horizonty (knižní série),Découvertes Gallimard
9707,Kľačany,Kľačany,Décskelecsény
9708,Ďačov,Ďačov,Décső
9709,Déianeira (dcéra Oinea),Déianeira,Déianeira
9710,Déifobos,Déifobos,Déiphobosz
9711,Déjà Vu (film),Déjà Vu (film),"Déjà Vu (film, 2006)"
9712,Déjà vu (psychológia),Déjà vu,Déjà vu
9713,Déjà vu,Déjà vu (rozcestník),Déjà vu (egyértelműsítő lap)
9714,Dekan (vysoká škola),Děkan,Dékán (felsőoktatás)
9715,Juh (svetová strana),Jih,Dél
9716,Poludnie,Poledne,Dél (napszak)
9717,Južný kríž,Souhvězdí Jižního kříže,Dél Keresztje csillagkép
9718,Hviezda juhu,Hvězda jihu,Dél csillaga
9719,Južná Afrika (región),Jižní Afrika,Dél-Afrika (régió)
9720,Južná Amerika,Jižní Amerika,Dél-Amerika
9721,Južná Austrália,Jižní Austrálie,Dél-Ausztrália
9722,Južná Dakota,Jižní Dakota,Dél-Dakota
9723,Juh (USA),Jih Spojených států amerických,Dél-Egyesült Államok
9724,Južná Európa,Jižní Evropa,Dél-Európa
9725,Južné Fínsko,Jižní Finsko,Dél-Finnország
9726,Južný Holland,Jižní Holandsko,Dél-Holland
9727,Južná Karolína,Jižní Karolína,Dél-Karolina
9728,Sud-Kivu,Jižní Kivu,Dél-Kivu tartomány
9729,Kórejská republika,Jižní Korea,Dél-Korea
9730,Zoznam prezidentov Kórejskej republiky,Seznam prezidentů Jižní Koreje,Dél-Korea elnökeinek listája
9731,Ägukka (Kórejská republika),Hymna Jižní Koreje,Dél-Korea himnusza
9732,Vlajka Kórejskej republiky,Vlajka Jižní Koreje,Dél-Korea zászlaja
9733,Južné Osetsko,Jižní Osetie,Dél-Oszétia
9734,Južný Sudán,Jižní Súdán,Dél-Szudán
9735,Vlajka Južného Sudánu,Vlajka Jižního Súdánu,Dél-Szudán zászlaja
9736,Južná Afrika (štát),Jihoafrická republika,Dél-afrikai Köztársaság
9737,Juhoafrická únia,Jihoafrická unie,Dél-afrikai Unió
9738,Rada futbalových asociácii Južnej Afriky,Rada fotbalových asociací Jižní Afriky,Dél-afrikai labdarúgó-szövetségek tanácsa
9739,Juhoafrické národné futbalové mužstvo,Jihoafrická fotbalová reprezentace,Dél-afrikai labdarúgó-válogatott
9740,Rand (mena),Jihoafrický rand,Dél-afrikai rand
9741,Dikobraz juhoafrický,Dikobraz jihoafrický,Dél-afrikai sül
9742,Mercosur,Mercosur,Dél-amerikai Közös Piac
9743,Juhoamerická futbalová konfederácia,CONMEBOL,Dél-amerikai Labdarúgó-szövetség
9744,Únia Juhoamerických národov,Unie jihoamerických národů,Dél-amerikai Nemzetek Uniója
9745,Lamantín amazonský,Kapustňák jihoamerický,Dél-amerikai manátusz
9746,Juhoamerická platňa,Jihoamerická deska,Dél-amerikai-lemez
9747,Juhobáčsky obvod,Jihobačský okruh,Dél-bácskai körzet
9748,Juhočeský kraj,Jihočeský kraj,Dél-csehországi kerület
9749,Juhokórejské národné hádzanárske mužstvo,Jihokorejská mužská házenkářská reprezentace,Dél-koreai férfi kézilabda-válogatott
9750,Juhokórejské národné futbalové mužstvo,Jihokorejská fotbalová reprezentace,Dél-koreai labdarúgó-válogatott
9751,Juhočínske more,Jihočínské moře,Dél-kínai-tenger
9752,Juhomoravský kraj,Jihomoravský kraj,Dél-morvaországi kerület
9753,Južno-Mujskij chrebet,Jihomujský hřbet,Dél-mujai-hegység
9754,Okres Plzeň-juh,Okres Plzeň-jih,Dél-plzeňi járás
9755,Juhosudánska libra,Jihosúdánská libra,Dél-szudáni font
9756,Južná Ázia,Jižní Asie,Dél-Ázsia
9757,Južná ryba,Souhvězdí Jižní ryby,Déli Hal csillagkép
9758,Južný trojuholník,Souhvězdí Jižního trojúhelníku,Déli Háromszög csillagkép
9759,Južná koruna,Souhvězdí Jižní koruny,Déli Korona csillagkép
9760,Vodný had (súhvezdie),Souhvězdí Malého vodního hada,Déli Vízikígyó csillagkép
9761,Vakokrt pieskový,Vakokrt písečný,Déli erszényesvakond
9762,Južná pologuľa,Jižní polokoule,Déli félgömb
9763,Skaliarik okrový,Bělořit okrový,Déli hantmadár
9764,Maďarský pohraničný plot,Maďarský pohraniční plot,Déli határzár Magyarországon
9765,Damarovník južný,Damaroň jižní,Déli kaurifenyő
9766,Osa dravá,Vosík francouzský,Déli papírdarázs
9767,Južný polárny kruh,Jižní polární kruh,Déli sarkkör
9768,Veľryba južná,Velryba jižní,Déli simabálna
9769,Južný federálny okruh,Jižní federální okruh,Déli szövetségi körzet
9770,Vombat dlhouchý,Vombat chluponosý,Déli szőrösorrú vombat
9771,Južné Alpy (Nový Zéland),Jižní Alpy (Nový Zéland),Déli-Alpok (Új-Zéland)
9772,Baja California Sur,Baja California Sur,Déli-Alsó-Kalifornia
9773,Južný Bug,Jižní Bug,Déli-Bug
9774,Južná Georgia a Južné Sandwichove ostrovy,Jižní Georgie a Jižní Sandwichovy ostrovy,Déli-Georgia és Déli-Sandwich-szigetek
9775,Južné Karpaty,Jižní Karpaty,Déli-Kárpátok
9776,Južna Morava,Jižní Morava (řeka),Déli-Morava
9777,Južný pól,Jižní pól,Déli-sark
